angle,coincidence_rate,single_1
-90,420,26000
-85,430,26400
-80,450,30000
-75,440,29700
-70,420,29300
-65,400,29500
-60,370,29400
-55,330,30000
-50,290,30200
-45,260,30200
-40,210,30500
-35,160,29200
-30,120,29000
-25,100,28800
-20,70,28500
-15,50,28800
-10,30,28800
-5,25,28800
0,20,28800
5,15,28500
10,25,28500
15,45,28400
20,60,28400
25,95,27900
30,125,27700
35,165,27500
40,195,27300
45,230,27200
50,260,27000
55,320,26600
60,350,26500
65,410,26200
70,420,26200
75,430,26100
80,460,25900
85,475,25900
90,480,25900
